#Number;State;DataSource;Name;Identifier;Year;Description;Standard;Platform;Language;Wikipedia;Domain;Width;MinWidth;MaxWidth;ReplacementChar;GeneratesNFC;ContainsBIDI;JavaLibrary
9999;checked;IANA;Windows-31J;Windows_31J;1990;Shift_JIS with NEC and IBM extension according to standards JIS X0201:1997 and JIS X0208:1997, see also CP932 (IBM) and CP943 (MS);MSWIN;windows;japanese;;ascii;varying8;1;2;U+001A;yes;no;
9999;checked;GNU_ICONV;ISO-IR-165;ISO_IR_165;1994;Codes of the Chinese graphic character set for communication, combination of GB 2312 and GB 8565.2;CCITT;international;chinese;;ascii;varying8;1;2;U+001A;yes;no;
9999;checked;GNU_ICONV;CP936;Windows_936;1992;ANSI/OEM Simplified Chinese including 1880 UDC, based on GB2312;MSWIN;windows;chinese;https://en.wikipedia.org/wiki/Code_page_1386;ascii;varying8;1;2;U+001A;yes;no;
9999;unchecked;IBM_ICU;java-euc_jp_linux-1.6_P;EUC_JP_Linux;2006;;;unix;japanese;;ascii;varying8;1;2;U+001A;yes;no;
9999;checked;ORACLE_JAVA;x-IBM942C;CP932;;;;dos;japanese;;ascii;varying8;1;7;U+001A;yes;no;
9999;unchecked;ORACLE_JAVA;x-JISAutoDetect;JIS_AutoDetect;;;;national;japanese;;ascii;varying8;1;2;U+001A;yes;no;
9999;unchecked;Name;CP50221;CP50221;;;;windows;japanese;;ascii;fixed8;1;1;U+001A;yes;no;
9999;unchecked;Name;EUC-JP-IBM;EUC_JP_IBM;2009;;;unix;japanese;;ascii;varying8;1;2;U+001A;yes;no;
9999;checked;Name;ibm-33722;IBM33722;1999;Japanese EUC (IBMeucJP), G0 JIS X201 Roman set (00895) G1, JIS X208-1990 set (00952), G2 JIS X201 Katakana set (09088), G3 JIS X212 set (09145);IBMAIX;aix;japanese;;ascii;varying8;1;2;U+001A;yes;no;
9999;checked;Name;ibm-5233;IBM5233;2011;Devanagari including Indian Rupee (based on Unicode character set);IBMZOS;zos;indic;;ebcdic;fixed8;1;1;U+001A;yes;no;
9999;unchecked;ORACLE_JAVA;x-IBM943C;Shift_JIS;;;;os2;japanese;;ascii;varying8;1;2;U+001A;yes;no;
9999;unchecked;ORACLE_JAVA;x-MS950-HKSCS;MS950_HKSCS;;;;windows;chinese;;ascii;varying8;1;2;U+001A;yes;no;
9999;unchecked;ORACLE_JAVA;x-MS950-HKSCS-XP;MS950_HKSCS_XP;;;;windows;chinese;;ascii;varying8;1;2;U+001A;yes;no;
9999;unchecked;ORACLE_JAVA;x-windows-iso2022jp;Windows_ISO2022_JP;;;ISO2022;windows;japanese;;ascii;varying8;1;2;U+001A;yes;no;
9999;unchecked;MS;CP709;CP709;;Arabic (ASMO 449+, BCON V4);;dos;arabic;;ascii;fixed8;1;1;U+001A;yes;no;
9999;unchecked;Name;CP708;CP708;;Arabic (ASMO 708);;dos;arabic;;ascii;fixed8;1;1;U+001A;yes;no;
9999;unsave;MS;x-Chinese_CNS;CP20000;;Taiwan CNS, traditional chinese;;windows;chinese;;ascii;fixed8;1;1;U+001A;yes;no;
9999;unsave;MS;x-cp20001;CP20001;;Taiwan TCA;;windows;chinese;;ascii;fixed8;1;1;U+001A;yes;no;
9999;unsave;MS;x_Chinese-Eten;CP20002;;Taiwan Eten, traditional chinese;;windows;chinese;;ascii;fixed8;1;1;U+001A;yes;no;
9999;unsave;MS;x-cp20003;CP20003;;Taiwan IBM5550;;windows;chinese;;ascii;fixed8;1;1;U+001A;yes;no;
9999;unsave;MS;x-cp20004;CP20004;;Taiwan Teletext;;windows;chinese;;ascii;fixed8;1;1;U+001A;yes;no;
9999;unsave;MS;x-cp20005;CP20005;;Taiwan Wang;;windows;chinese;;ascii;fixed8;1;1;U+001A;yes;no;
9999;unchecked;MS;x-cp20949;CP20949;;Korean Wansung;;windows;korean;;ascii;fixed8;1;1;U+001A;yes;no;
9999;unsave;MS;CP21027;CP21027;;Ext Alpha Lowercase;;windows;latin;;ascii;fixed8;1;1;U+001A;yes;no;
9999;unsave;MS;x-Europa;CP29001;;Europa 3;;windows;latin;;ascii;fixed8;1;1;U+001A;yes;no;
9999;unsave;MS;x-cp50227;CP50227;;ISO 2022, simplified chinese;;windows;chinese;;ascii;fixed8;1;1;U+001A;yes;no;
9999;unsave;MS;CP50229;CP50229;;ISO 2022, traditional chinese;;windows;chinese;;ascii;fixed8;1;1;U+001A;yes;no;
9999;checked;MS;CP50930;IBM930;;IBM EBCDIC Japanese (Katakana) Extended;;windows;japanese;;ebcdic;fixed8;1;1;U+001A;yes;no;
9999;checked;MS;CP50931;IBM931;;IBM EBCDIC Latin and Japanese;;windows;japanese;;ebcdic;fixed8;1;1;U+001A;yes;no;
9999;checked;MS;CP50933;IBM933;;IBM EBCDIC Korean Extended;;windows;korean;;ebcdic;fixed8;1;1;U+001A;yes;no;
9999;checked;MS;CP50935;IBM935;;IBM EBCDIC Simplified Chinese Extended and Simplified Chinese;;windows;chinese;;ebcdic;fixed8;1;1;U+001A;yes;no;
9999;checked;MS;CP50937;IBM937;;IBM EBCDIC US-Canada and Traditional Chinese;;windows;chinese;;ebcdic;fixed8;1;1;U+001A;yes;no;
9999;checked;MS;CP50939;IBM939;;IBM EBCDIC Japanese (Latin) Extended and Japanese;;windows;japanese;;ebcdic;fixed8;1;1;U+001A;yes;no;
9999;unchecked;Name;Windows-950_2000;Windows_950_2000;;;MSWIN;windows;chinese;;ascii;varying8;1;2;U+001A;yes;no;
9999;unchecked;Name;MS950-HKSCS;MS950_HKSCS;;;;windows;chinese;;ascii;varying8;1;2;U+001A;yes;no;
9999;checked;Name;ibm-950;IBM950;1999;Traditional Chinese for Big-5;IBMPC;dos;chinese;https://en.wikipedia.org/wiki/Code_page_950;ascii;varying8;1;2;U+001A;yes;no;
9999;checked;Name;ibm-954;IBM954;1993;Japanese EUC G0, JIS X201 Roman set (00895) G1, JIS X208-1990 set (00952) G2, JIS X201 Katakana set (09088) G3, JIS X212 set (00953);IBMAIX;aix;japanese;https://en.wikipedia.org/w/index.php?title=Code_page_954&action=edit&redlink=1;ascii;varying8;1;3;U+00FE, U+00F4;maybe;no;
9999;checked;IBM_ICU;windows-936-2000;Windows_936_2000;1996;ANSI/OEM Simplified Chinese including 1880 UDC, based on GB2312;MSWIN;windows;chinese;https://en.wikipedia.org/wiki/Code_page_1386;ascii;fixed8;1;1;U+001A;yes;no;
9999;checked;Name;MS932-X0213;MS932_X0213;1998;ANSI/OEM Japanese, based on Shift-JIS;MSWIN;windows;japanese;https://en.wikipedia.org/wiki/Code_page_943;ascii;varying8;1;3;U+001A;yes;no;
9999;checked;Name;Windows-949;Windows_949;1992;ANSI/OEM Korean (Unified Hangul Code);MSWIN;windows;korean;https://en.wikipedia.org/wiki/Code_page_949;ascii;fixed8;1;1;U+001A;yes;no;
9999;checked;SELF;NSAI_433:1996;NSAI_433_1996;1996;Ireland (Irish Gaelic);ISO646;national;latin;https://en.wikipedia.org/wiki/ISO/IEC_646;ascii;fixed7;1;1;U+001A;yes;no;
9999;checked;SELF;IS;IS;;Iceland (Icelandic);ISO646;national;latin;https://en.wikipedia.org/wiki/ISO/IEC_646;ascii;fixed7;1;1;U+001A;yes;no;
9999;checked;SELF;MT;MT;;Malta (Maltese, English);ISO646;national;latin;https://en.wikipedia.org/wiki/ISO/IEC_646;ascii;fixed7;1;1;U+001A;yes;no;
9999;checked;SELF;PL;BN_74_3101_01;;Poland (Polish has 18 letters with diacritical marks, but only 9 lowercase letters are normalized due to code space reasons.;ISO646;national;latin;https://en.wikipedia.org/wiki/ISO/IEC_646;ascii;fixed7;1;1;U+001A;yes;no;
9999;checked;SELF;TW;CNS_5205_1996;1996;Republic of China (Taiwan);ISO646;national;latin;https://en.wikipedia.org/wiki/ISO/IEC_646;ascii;fixed7;1;1;U+001A;yes;no;
9999;checked;SELF;iso-ir-1;ISO_IR_1;1975;ISO 646 controls;ISO646;national;latin;https://en.wikipedia.org/wiki/ISO/IEC_646;ascii;fixed7;1;1;U+001A;yes;no;
9999;checked;SELF;iso-ir-7;ISO_IR_7;1975;Scandinavian newspaper controls;ISO646;national;latin;https://en.wikipedia.org/wiki/ISO/IEC_646;ascii;fixed7;1;1;U+001A;yes;no;
9999;checked;SELF;iso-ir-26;ISO_IR_26;1976;IPTC controls;ISO646;national;latin;https://en.wikipedia.org/wiki/ISO/IEC_646;ascii;fixed7;1;1;U+001A;yes;no;
9999;checked;SELF;iso-ir-31;ISO_IR_31;1976;Greek alphabet set for bibliographic use;ISO646;national;cyrillic;https://en.wikipedia.org/wiki/ISO/IEC_646;ascii;fixed7;1;1;U+001A;yes;no;
9999;checked;SELF;ELOT-927;ELOT_927;;Greek;;national;cyrillic;https://en.wikipedia.org/wiki/ISO/IEC_646;ascii;fixed7;1;1;U+001A;yes;no;
9999;checked;SELF;SI-960;SI_960;;Hebrew;;national;hebrew;https://en.wikipedia.https://en.wikipedia.org/wiki/SI_960;ascii;fixed7;1;1;U+001A;yes;no;
9999;checked;SELF;ibm-876;IBM876;1998;OCR A;IBMPC;dos;latin;https://en.wikipedia.org/w/index.php?title=Code_page_876&action=edit&redlink=1;ascii;fixed8;1;1;U+001A;yes;no;
9999;checked;SELF;ibm-892;IBM892;1986;OCR A;IBMZOS;zos;latin;;ebcdic;fixed8;1;1;U+001A;yes;no;
9999;checked;SELF;ibm-893;IBM893;1986;OCR B;IBMZOS;zos;latin;;ebcdic;fixed8;1;1;U+001A;yes;no;
9999;checked;SELF;ibm-899;IBM899;1987;Symbols;IBMPC;dos;symbolic;https://en.wikipedia.org/w/index.php?title=Code_page_899&action=edit&redlink=1;ebcdic;fixed8;1;1;U+001A;yes;no;
9999;checked;SELF;ibm-960;IBM960;1993;Traditional Chinese EUC, G1 - CNS 11643 plane 1 primary;IBMAIX;aix;chinese;https://en.wikipedia.org/w/index.php?title=Code_page_960&action=edit&redlink=1;ascii;fixed16;2;2;U+001A;yes;no;
9999;checked;SELF;ibm-961;IBM961;1993;Traditional Chinese EUC, G2 - CNS 11643 remainder including 7650 CNS plane 2, 325 IBM selected characters, 6204 UDC;IBMAIX;aix;chinese;https://en.wikipedia.org/w/index.php?title=Code_page_961&action=edit&redlink=1;ascii;varying8;1;3;U+001A;yes;no;
9999;checked;SELF;ibm-963;IBM963;1994;Traditional Chinese TCP, CNS 11643 plane 2 only;IBMAIX;aix;chinese;https://en.wikipedia.org/w/index.php?title=Code_page_963&action=edit&redlink=1;ascii;fixed16;2;2;U+001A;yes;no;
9999;checked;SELF;ibm-965;IBM965;1994;Traditional Chinese 2022 TCP ASCII CNS 11643 plane 1 CNS 11643 plane 2;IBMAIX;aix;chinese;https://en.wikipedia.org/w/index.php?title=Code_page_965&action=edit&redlink=1;ascii;varying8;1;2;U+001A;yes;no;
9999;checked;SELF;ibm-65520;IBM65520;2004;Empty Unicode Plane;Unicode;any;any;;ascii;fixed16;2;2;U+001A;yes;no;
9999;checked;GNU_ICONV;US-ASCII;US_ASCII;;from GNU libiconv;;;;;;;;;;;;
9999;checked;GNU_ICONV;UCS-2;UCS_2;;from GNU libiconv;;;;;;;;;;;;
9999;checked;GNU_ICONV;UCS-4;UCS_4;;from GNU libiconv;;;;;;;;;;;;
9999;checked;GNU_ICONV;UCS-2-INTERNAL;UCS_2;;from GNU libiconv;;;;;;;;;;;;
9999;checked;GNU_ICONV;UCS-4-INTERNAL;UCS_4;;from GNU libiconv;;;;;;;;;;;;
9999;checked;GNU_ICONV;ISO-8859-1;ISO_8859_1;;from GNU libiconv;;;;;;;;;;;;
9999;checked;GNU_ICONV;ISO-8859-2;ISO_8859_2;;from GNU libiconv;;;;;;;;;;;;
9999;checked;GNU_ICONV;ISO-8859-3;ISO_8859_3;;from GNU libiconv;;;;;;;;;;;;
9999;checked;GNU_ICONV;ISO-8859-4;ISO_8859_4;;from GNU libiconv;;;;;;;;;;;;
9999;checked;GNU_ICONV;ISO-8859-5;ISO_8859_5;;from GNU libiconv;;;;;;;;;;;;
9999;checked;GNU_ICONV;ISO-8859-6;ISO_8859_6;;from GNU libiconv;;;;;;;;;;;;
9999;checked;GNU_ICONV;ISO-8859-7;ISO_8859_7;;from GNU libiconv;;;;;;;;;;;;
9999;checked;GNU_ICONV;ISO-8859-8;ISO_8859_8;;from GNU libiconv;;;;;;;;;;;;
9999;checked;GNU_ICONV;ISO-8859-9;ISO_8859_9;;from GNU libiconv;;;;;;;;;;;;
9999;checked;GNU_ICONV;CP1250;Windows_1250;;from GNU libiconv;;;;;;;;;;;;
9999;checked;GNU_ICONV;CP1251;Windows_1251;;from GNU libiconv;;;;;;;;;;;;
9999;checked;GNU_ICONV;CP1252;Windows_1252;;from GNU libiconv;;;;;;;;;;;;
9999;checked;GNU_ICONV;CP1253;Windows_1253;;from GNU libiconv;;;;;;;;;;;;
9999;checked;GNU_ICONV;CP1254;Windows_1254;;from GNU libiconv;;;;;;;;;;;;
9999;checked;GNU_ICONV;CP1255;Windows_1255;;from GNU libiconv;;;;;;;;;;;;
9999;checked;GNU_ICONV;CP1256;Windows_1256;;from GNU libiconv;;;;;;;;;;;;
9999;checked;GNU_ICONV;CP1257;Windows_1257;;from GNU libiconv;;;;;;;;;;;;
9999;checked;GNU_ICONV;CP1258;Windows_1258;;from GNU libiconv;;;;;;;;;;;;
9999;checked;GNU_ICONV;CP850;CP850;;from GNU libiconv;;;;;;;;;;;;
9999;checked;GNU_ICONV;CP862;CP862;;from GNU libiconv;;;;;;;;;;;;
9999;checked;GNU_ICONV;CP866;CP866;;from GNU libiconv;;;;;;;;;;;;
9999;checked;GNU_ICONV;CP437;IBM437;;from GNU libiconv;;;;;;;;;;;;
9999;checked;GNU_ICONV;MacRoman;MacIntosh;;from GNU libiconv;;;;;;;;;;;;
9999;checked;GNU_ICONV;HP-ROMAN8;HP_Roman8;;from GNU libiconv;;;;;;;;;;;;
9999;checked;GNU_ICONV;PT154;CP154;;from GNU libiconv;;;;;;;;;;;;
9999;checked;GNU_ICONV;RK1048;KZ1048;;from GNU libiconv;;;;;;;;;;;;
9999;unchecked;GNU_ICONV;EUC-JP;EUC_JP;;from GNU libiconv;;;;;;;;;;;;
9999;checked;GNU_ICONV;CP874;Windows_874;;from GNU libiconv;;;;;;;;;;;;
9999;checked;GNU_ICONV;JIS_C6220-1969-RO;JIS_C6220_1969_RO;;from GNU libiconv;;;;;;;;;;;;
9999;unchecked;GNU_ICONV;JIS_X0208;JIS_C6226_1983;;from GNU libiconv;;;;;;;;;;;;
9999;unchecked;GNU_ICONV;JIS_X0212;JIS_X0212_1990;;from GNU libiconv;;;;;;;;;;;;
9999;unchecked;GNU_ICONV;KSC_5601;KS_C_5601_1987;;from GNU libiconv;;;;;;;;;;;;
9999;unchecked;GNU_ICONV;SHIFT_JIS;Shift_JIS;;from GNU libiconv;;;;;;;;;;;;
9999;unchecked;GNU_ICONV;EUC-CN;GB_2312;;from GNU libiconv;;;;;;;;;;;;
9999;unchecked;GNU_ICONV;HZ;HZ_GB_2312;;from GNU libiconv;;;;;;;;;;;;
9999;unchecked;GNU_ICONV;BIG5;Big5;;from GNU libiconv;;;;;;;;;;;;
9999;unchecked;GNU_ICONV;BIG5-HKSCS;Big5_HKSCS;;from GNU libiconv;;;;;;;;;;;;
9999;checked;GNU_ICONV;CP775;CP775;;from GNU libiconv;;;;;;;;;;;;
9999;checked;GNU_ICONV;CP852;CP852;;from GNU libiconv;;;;;;;;;;;;
9999;checked;GNU_ICONV;CP855;IBM855;;from GNU libiconv;;;;;;;;;;;;
9999;checked;GNU_ICONV;CP857;CP857;;from GNU libiconv;;;;;;;;;;;;
9999;checked;GNU_ICONV;CP858;CP858;;from GNU libiconv;;;;;;;;;;;;
9999;checked;GNU_ICONV;CP860;IBM860;;from GNU libiconv;;;;;;;;;;;;
9999;checked;GNU_ICONV;CP861;CP861;;from GNU libiconv;;;;;;;;;;;;
9999;checked;GNU_ICONV;CP863;IBM863;;from GNU libiconv;;;;;;;;;;;;
9999;checked;GNU_ICONV;CP864;IBM864;;from GNU libiconv;;;;;;;;;;;;
9999;checked;GNU_ICONV;CP865;IBM865;;from GNU libiconv;;;;;;;;;;;;
9999;checked;GNU_ICONV;CP869;CP869;;from GNU libiconv;;;;;;;;;;;;
9999;unchecked;GNU_ICONV;BIG5-2003;Big5_2003;;from GNU libiconv;;;;;;;;;;;;
9999;checked;IBM_ICU;ibm-1009_P100-1995;ISO_646_IRV_1983;;from ICU;;;;;;;;;;;;
9999;checked;IBM_ICU;UTF-16,version=1;UTF_16;;from ICU;;;;;;;;;;;;
9999;checked;IBM_ICU;UTF-16,version=2;UTF_16;;from ICU;;;;;;;;;;;;
9999;checked;IBM_ICU;UTF-16BE,version=1;UTF_16BE;;from ICU;;;;;;;;;;;;
9999;checked;IBM_ICU;UTF-16LE,version=1;UTF_16LE;;from ICU;;;;;;;;;;;;
9999;checked;IBM_ICU;macos-0_2-10.2;MacIntosh;;from ICU;;;;;;;;;;;;
9999;checked;IBM_ICU;macos-6_2-10.4;MacGreek;;from ICU;;;;;;;;;;;;
9999;checked;IBM_ICU;macos-7_3-10.2;MacCyrillic;;from ICU;;;;;;;;;;;;
9999;checked;IBM_ICU;macos-29-10.2;MacCentralEuropean;;from ICU;;;;;;;;;;;;
9999;checked;IBM_ICU;macos-35-10.2;MacTurkish;;from ICU;;;;;;;;;;;;
9999;checked;IBM_ICU;macos-21-10.5;MacThai;;from ICU;;;;;;;;;;;;
9999;checked;IBM_ICU;macos-33-10.5;MacSymbol;;from ICU;;;;;;;;;;;;
9999;checked;IBM_ICU;macos-34-10.2;MacDingbat;;from ICU;;;;;;;;;;;;
9999;checked;IBM_ICU;macos-36_2-10.2;MacCroatian;;from ICU;;;;;;;;;;;;
9999;checked;IBM_ICU;macos-37_5-10.2;MacIcelandic;;from ICU;;;;;;;;;;;;
9999;checked;IBM_ICU;macos-38_2-10.2;MacRomanian;;from ICU;;;;;;;;;;;;
9999;checked;IBM_ICU;macos-518-10.2;MacArabic;;from ICU;;;;;;;;;;;;
9999;checked;IBM_ICU;macos-1285-10.2;MacHebrew;;from ICU;;;;;;;;;;;;
9999;checked;IBM_ICU;glibc-PT154-2.3.3;CP154;;from ICU;;;;;;;;;;;;
9999;checked;IBM_ICU;ibm-37_P100-1995;IBM037;;from ICU;;;;;;;;;;;;
9999;checked;IBM_ICU;ibm-273_P100-1995;IBM273;;from ICU;;;;;;;;;;;;
9999;checked;IBM_ICU;ibm-277_P100-1995;IBM277;;from ICU;;;;;;;;;;;;
9999;checked;IBM_ICU;ibm-278_P100-1995;IBM278;;from ICU;;;;;;;;;;;;
9999;checked;IBM_ICU;ibm-280_P100-1995;IBM280;;from ICU;;;;;;;;;;;;
9999;checked;IBM_ICU;ibm-284_P100-1995;IBM284;;from ICU;;;;;;;;;;;;
9999;checked;IBM_ICU;ibm-285_P100-1995;IBM285;;from ICU;;;;;;;;;;;;
9999;checked;IBM_ICU;ibm-290_P100-1995;IBM290;;from ICU;;;;;;;;;;;;
9999;checked;IBM_ICU;ibm-297_P100-1995;IBM297;;from ICU;;;;;;;;;;;;
9999;checked;Deprecated;ibm-367_P100-1995;US_ASCII;;from ICU;;;;;;;;;;;;
9999;checked;IBM_ICU;ibm-420_X120-1999;IBM420;;from ICU;;;;;;;;;;;;
9999;checked;IBM_ICU;ibm-424_P100-1995;IBM424;;from ICU;;;;;;;;;;;;
9999;checked;IBM_ICU;ibm-437_P100-1995;IBM437;;from ICU;;;;;;;;;;;;
9999;checked;IBM_ICU;ibm-500_P100-1995;IBM500;;from ICU;;;;;;;;;;;;
9999;checked;IBM_ICU;ibm-737_P100-1997;CP737;;from ICU;;;;;;;;;;;;
9999;checked;IBM_ICU;ibm-775_P100-1996;CP775;;from ICU;;;;;;;;;;;;
9999;checked;IBM_ICU;ibm-803_P100-1999;IBM803;;from ICU;;;;;;;;;;;;
9999;checked;IBM_ICU;ibm-813_P100-1995;IBM813;;from ICU;;;;;;;;;;;;
9999;unchecked;IBM_ICU;ibm-838_P100-1995;IBM_Thai;;from ICU;;;;;;;;;;;;
9999;checked;IBM_ICU;ibm-850_P100-1995;CP850;;from ICU;;;;;;;;;;;;
9999;checked;IBM_ICU;ibm-851_P100-1995;IBM851;;from ICU;;;;;;;;;;;;
9999;checked;IBM_ICU;ibm-852_P100-1995;CP852;;from ICU;;;;;;;;;;;;
9999;checked;IBM_ICU;ibm-855_P100-1995;IBM855;;from ICU;;;;;;;;;;;;
9999;checked;IBM_ICU;ibm-856_P100-1995;IBM856;;from ICU;;;;;;;;;;;;
9999;checked;IBM_ICU;ibm-857_P100-1995;CP857;;from ICU;;;;;;;;;;;;
9999;checked;IBM_ICU;ibm-858_P100-1997;CP858;;from ICU;;;;;;;;;;;;
9999;checked;IBM_ICU;ibm-860_P100-1995;IBM860;;from ICU;;;;;;;;;;;;
9999;checked;IBM_ICU;ibm-861_P100-1995;CP861;;from ICU;;;;;;;;;;;;
9999;checked;IBM_ICU;ibm-862_P100-1995;CP862;;from ICU;;;;;;;;;;;;
9999;checked;IBM_ICU;ibm-863_P100-1995;IBM863;;from ICU;;;;;;;;;;;;
9999;checked;IBM_ICU;ibm-864_X110-1999;IBM864;;from ICU;;;;;;;;;;;;
9999;checked;IBM_ICU;ibm-865_P100-1995;IBM865;;from ICU;;;;;;;;;;;;
9999;checked;IBM_ICU;ibm-866_P100-1995;CP866;;from ICU;;;;;;;;;;;;
9999;checked;IBM_ICU;ibm-867_P100-1998;IBM867;;from ICU;;;;;;;;;;;;
9999;checked;IBM_ICU;ibm-868_P100-1995;IBM868;;from ICU;;;;;;;;;;;;
9999;checked;IBM_ICU;ibm-869_P100-1995;CP869;;from ICU;;;;;;;;;;;;
9999;checked;IBM_ICU;ibm-870_P100-1995;IBM870;;from ICU;;;;;;;;;;;;
9999;checked;IBM_ICU;ibm-871_P100-1995;IBM871;;from ICU;;;;;;;;;;;;
9999;checked;IBM_ICU;ibm-874_P100-1995;TIS_620;;from ICU;;;;;;;;;;;;
9999;checked;IBM_ICU;ibm-875_P100-1995;IBM875;;from ICU;;;;;;;;;;;;
9999;checked;IBM_ICU;ibm-878_P100-1996;KOI8_R;;from ICU;;;;;;;;;;;;
9999;checked;IBM_ICU;ibm-897_P100-1995;JIS_X0201;;from ICU;;;;;;;;;;;;
9999;checked;IBM_ICU;ibm-901_P100-1999;IBM901;;from ICU;;;;;;;;;;;;
9999;checked;IBM_ICU;ibm-902_P100-1999;IBM902;;from ICU;;;;;;;;;;;;
9999;checked;IBM_ICU;ibm-912_P100-1995;ISO_8859_2;;from ICU;;;;;;;;;;;;
9999;checked;IBM_ICU;ibm-913_P100-2000;ISO_8859_3;;from ICU;;;;;;;;;;;;
9999;checked;IBM_ICU;ibm-914_P100-1995;ISO_8859_4;;from ICU;;;;;;;;;;;;
9999;checked;IBM_ICU;ibm-915_P100-1995;ISO_8859_5;;from ICU;;;;;;;;;;;;
9999;checked;IBM_ICU;ibm-916_P100-1995;IBM916;;from ICU;;;;;;;;;;;;
9999;checked;IBM_ICU;ibm-918_P100-1995;IBM918;;from ICU;;;;;;;;;;;;
9999;checked;IBM_ICU;ibm-920_P100-1995;ISO_8859_9;;from ICU;;;;;;;;;;;;
9999;checked;IBM_ICU;ibm-921_P100-1995;ISO_8859_13;;from ICU;;;;;;;;;;;;
9999;checked;IBM_ICU;ibm-922_P100-1999;IBM922;;from ICU;;;;;;;;;;;;
9999;checked;IBM_ICU;ibm-923_P100-1998;ISO_8859_15;;from ICU;;;;;;;;;;;;
9999;checked;IBM_ICU;ibm-930_P120-1999;IBM930;;from ICU;;;;;;;;;;;;
9999;checked;IBM_ICU;ibm-933_P110-1995;IBM933;;from ICU;;;;;;;;;;;;
9999;checked;IBM_ICU;ibm-935_P110-1999;IBM935;;from ICU;;;;;;;;;;;;
9999;checked;IBM_ICU;ibm-937_P110-1999;IBM937;;from ICU;;;;;;;;;;;;
9999;checked;IBM_ICU;ibm-939_P120-1999;IBM939;;from ICU;;;;;;;;;;;;
9999;checked;IBM_ICU;ibm-942_P12A-1999;CP932;;from ICU;;;;;;;;;;;;
9999;unchecked;IBM_ICU;ibm-943_P15A-2003;Shift_JIS;;from ICU;;;;;;;;;;;;
9999;checked;IBM_ICU;ibm-943_P130-1999;IBM943;;from ICU;;;;;;;;;;;;
9999;checked;IBM_ICU;ibm-949_P110-1999;CP949;;from ICU;;;;;;;;;;;;
9999;checked;IBM_ICU;ibm-949_P11A-1999;CP949C;;from ICU;;;;;;;;;;;;
9999;checked;IBM_ICU;ibm-950_P110-1999;IBM950;;from ICU;;;;;;;;;;;;
9999;unchecked;IBM_ICU;ibm-952_P110-1997;JIS_C6226_1983;;from ICU;;;;;;;;;;;;
9999;unchecked;IBM_ICU;ibm-964_P110-1999;EUC_TW;;from ICU;;;;;;;;;;;;
9999;unchecked;Deprecated;ibm-970_P110-1995;EUC_KR;;from ICU;;;;;;;;;;;;
9999;checked;IBM_ICU;ibm-971_P100-1995;IBM971;;from ICU;;;;;;;;;;;;
9999;checked;IBM_ICU;ibm-1006_P100-1995;IBM1006;;from ICU;;;;;;;;;;;;
9999;checked;IBM_ICU;ibm-1025_P100-1995;IBM1025;;from ICU;;;;;;;;;;;;
9999;checked;IBM_ICU;ibm-1026_P100-1995;IBM1026;;from ICU;;;;;;;;;;;;
9999;checked;IBM_ICU;ibm-1046_X110-1999;IBM1046;;from ICU;;;;;;;;;;;;
9999;checked;IBM_ICU;ibm-1047_P100-1995;IBM1047;;from ICU;;;;;;;;;;;;
9999;checked;IBM_ICU;ibm-1051_P100-1995;HP_Roman8;;from ICU;;;;;;;;;;;;
9999;checked;IBM_ICU;ibm-1089_P100-1995;ISO_8859_6;;from ICU;;;;;;;;;;;;
9999;checked;IBM_ICU;ibm-1097_P100-1995;IBM1097;;from ICU;;;;;;;;;;;;
9999;checked;IBM_ICU;ibm-1098_P100-1995;IBM1098;;from ICU;;;;;;;;;;;;
9999;checked;IBM_ICU;ibm-1107_P100-2003;DS_2089;;from ICU;;;;;;;;;;;;
9999;checked;IBM_ICU;ibm-1112_P100-1995;IBM1112;;from ICU;;;;;;;;;;;;
9999;checked;IBM_ICU;ibm-1122_P100-1999;IBM1122;;from ICU;;;;;;;;;;;;
9999;checked;IBM_ICU;ibm-1123_P100-1995;IBM1123;;from ICU;;;;;;;;;;;;
9999;checked;IBM_ICU;ibm-1124_P100-1996;IBM1124;;from ICU;;;;;;;;;;;;
9999;checked;IBM_ICU;ibm-1125_P100-1997;IBM1125;;from ICU;;;;;;;;;;;;
9999;checked;IBM_ICU;ibm-1129_P100-1997;IBM1129;;from ICU;;;;;;;;;;;;
9999;checked;IBM_ICU;ibm-1130_P100-1997;IBM1130;;from ICU;;;;;;;;;;;;
9999;checked;IBM_ICU;ibm-1131_P100-1997;IBM1131;;from ICU;;;;;;;;;;;;
9999;checked;IBM_ICU;ibm-1132_P100-1998;IBM1132;;from ICU;;;;;;;;;;;;
9999;checked;IBM_ICU;ibm-1133_P100-1997;IBM1133;;from ICU;;;;;;;;;;;;
9999;checked;IBM_ICU;ibm-1137_P100-1999;IBM1137;;from ICU;;;;;;;;;;;;
9999;checked;IBM_ICU;ibm-1140_P100-1997;IBM1140;;from ICU;;;;;;;;;;;;
9999;checked;IBM_ICU;ibm-1141_P100-1997;IBM1141;;from ICU;;;;;;;;;;;;
9999;checked;IBM_ICU;ibm-1142_P100-1997;IBM1142;;from ICU;;;;;;;;;;;;
9999;checked;IBM_ICU;ibm-1143_P100-1997;IBM1143;;from ICU;;;;;;;;;;;;
9999;checked;IBM_ICU;ibm-1144_P100-1997;IBM1144;;from ICU;;;;;;;;;;;;
9999;checked;IBM_ICU;ibm-1145_P100-1997;IBM1145;;from ICU;;;;;;;;;;;;
