#Number;State;DataSource;Name;Identifier;Year;Description;Standard;Platform;Language;Wikipedia;Domain;Width;MinWidth;MaxWidth;ReplacementChar;GeneratesNFC;ContainsBIDI;JavaLibrary
9999;checked;Name;ibm-836;IBM836;1994;Simplified Chinese Extended;IBMZOS;zos;chinese;;ebcdic;fixed8;1;1;U+001A;yes;no;
9999;checked;Name;ibm-837;IBM837;2001;Simplified Chinese DBCS-HOST;IBMZOS;zos;chinese;;ebcdic;fixed16;2;2;U+001A;yes;no;
9999;checked;Name;ibm-848;IBM848;1999;PC, Cyrillic, Ukrainian with euro, based on CP1125;IBMPC;dos;cyrillic;https://en.wikipedia.org/w/index.php?title=Code_page_848&action=edit&redlink=1;ascii;fixed8;1;1;U+001A;yes;no;
9999;checked;Name;ibm-849;IBM849;1999;PC Data, Cyrillic, Belorussian with euro;IBMPC;dos;cyrillic;https://en.wikipedia.org/w/index.php?title=Code_page_849&action=edit&redlink=1;ascii;fixed8;1;1;U+001A;yes;no;
9999;checked;Name;ibm-859;IBM859;1999;Latin 9, see also ISO-8859-15;IBMPC;dos;latin;https://en.wikipedia.org/wiki/Code_page_859;ascii;fixed8;1;1;U+001A;yes;no;
9999;checked;Name;ibm-872;IBM872;1999;Cyrillic with euro;IBMPC;dos;cyrillic;https://en.wikipedia.org/wiki/Code_page_855#Code_page_872;ascii;fixed8;1;1;U+001A;yes;no;
9999;checked;Name;ibm-896;IBM896;1992; Japan Katakana Extended, see also ISO 2022 and EUC;IBMAIX;aix;japanese;https://en.wikipedia.org/w/index.php?title=Code_page_896&action=edit&redlink=1;ascii;fixed8;1;1;U+001A;yes;no;
9999;checked;Name;ibm-916;IBM916;1987;Hebrew version close to ISO-8859-8;IBMAIX;aix;hebrew;https://en.wikipedia.org/w/index.php?title=Code_page_916&action=edit&redlink=1;ascii;fixed8;1;1;U+001A;yes;yes;
9999;checked;Name;ibm-926;IBM926;1989;Korean incl. 1880 UDC;IBMPC;dos;korean;https://en.wikipedia.org/w/index.php?title=Code_page_926&action=edit&redlink=1;ascii;fixed16;2;2;U+001A;yes;no;
9999;checked;Name;ibm-927;IBM927;1992;Traditional Chinese incl. 6204 UDC;IBMPC;dos;chinese;https://en.wikipedia.org/w/index.php?title=Code_page_927&action=edit&redlink=1;ascii;fixed16;2;2;U+001A;yes;no;
9999;checked;Name;ibm-928;IBM928;1992;Simplified Chinese incl. 1880 UDC;IBMPC;dos;chinese;https://en.wikipedia.org/w/index.php?title=Code_page_928&action=edit&redlink=1;ascii;fixed16;2;2;U+001A;yes;no;
9999;checked;Name;ibm-941;IBM941;1996;Japanese for Open environment;IBMPC;dos;japanese;https://en.wikipedia.org/w/index.php?title=Code_page_941&action=edit&redlink=1;ascii;fixed16;2;2;U+001A;yes;no;
9999;checked;Name;ibm-944;IBM944;1989;Korean including 1880 UDC, Extended SBCS;IBMPC;dos;korean;https://en.wikipedia.org/w/index.php?title=Code_page_944&action=edit&redlink=1;ascii;varying8;1;2;U+001A;yes;no;
9999;checked;Name;ibm-946;IBM946;1992;Simplified Chinese including 1880 UDC, Extended SBCS;IBMPC;dos;chinese;https://en.wikipedia.org/w/index.php?title=Code_page_946&action=edit&redlink=1;ascii;varying8;1;2;U+001A;yes;no;
9999;checked;Name;ibm-947;IBM947;1999;Traditional Chinese (IBM BIG-5) including 13493 CNS, 566 IBM selected and 6204 UDC;IBMPC;dos;chinese;https://en.wikipedia.org/w/index.php?title=Code_page_946&action=edit&redlink=1;ascii;fixed16;2;2;U+001A;yes;no;
9999;checked;Name;ibm-948;IBM948;1992;Traditional Chinese including 6204 UDC.;IBMPC;dos;korean;https://en.wikipedia.org/w/index.php?title=Code_page_948&action=edit&redlink=1;ascii;varying8;1;2;U+001A;yes;no;
9999;checked;Name;ibm-951;IBM951;1992;KS Code including 1880 UDC;IBMPC;dos;korean;https://en.wikipedia.org/wiki/Code_page_951;ascii;fixed16;2;2;U+001A;yes;no;
9999;checked;Name;ibm-955;IBM955;1997;Japanese TCP, JIS X0208-1978;IBMAIX;aix;japanese;https://en.wikipedia.org/w/index.php?title=Code_page_955&action=edit&redlink=1;ascii;fixed16;2;2;U+001A;yes;no;
9999;checked;SELF;ibm-956;IBM956;1993;Japanese 2022 TCP, JIS X201 Roman set, JIS X208-1983 set, JIS X201 Katakana set, JIS X212 set;IBMAIX;aix;japanese;https://en.wikipedia.org/w/index.php?title=Code_page_956&action=edit&redlink=1;ascii;fixed16;2;2;U+001A;yes;no;
9999;checked;SELF;ibm-957;IBM957;1993;Japanese 2022 TCP, JIS X201 Roman set, JIS X208-1978 set, JIS X201 Katakana set, JIS X212 set;IBMAIX;aix;japanese;https://en.wikipedia.org/w/index.php?title=Code_page_957&action=edit&redlink=1;ascii;fixed16;2;2;U+001A;yes;no;
9999;checked;SELF;ibm-958;IBM958;1993;Japanese 2022 TCP, ASCII, JIS X208-1983 set, JIS X201 Katakana set, JIS X212 set;IBMAIX;aix;japanese;https://en.wikipedia.org/w/index.php?title=Code_page_958&action=edit&redlink=1;ascii;fixed16;2;2;U+001A;yes;no;
9999;checked;SELF;ibm-959;IBM959;1993;Japanese 2022 TCP, ASCII, JIS X208-1978 set, JIS X201 Katakana set, JIS X212 set;IBMAIX;aix;japanese;https://en.wikipedia.org/w/index.php?title=Code_page_959&action=edit&redlink=1;ascii;fixed16;2;2;U+001A;yes;no;
9999;checked;SELF;ibm-1002;IBM1002;1987;DCF Release 2 Compatibility;IBMZOS;zos;latin;;ascii;fixed8;1;1;U+001A;yes;no;
9999;checked;Name;ibm-1004;IBM1004;1991;Latin-1 Extended, Desk Top Publishing/Windows;MSWIN;windows;latin;https://en.wikipedia.org/w/index.php?title=Code_page_1004&action=edit&redlink=1;ascii;fixed8;1;1;U+001A;yes;no;
9999;checked;Name;ibm-1008;IBM1008;1989;Arabic 8-bit ISO/ASCII;IBMAIX;aix;arabic;https://en.wikipedia.org/w/index.php?title=Code_page_1008&action=edit&redlink=1;ascii;fixed8;1;1;U+001A;yes;no;
9999;checked;Name;NL;NL;1995;Netherlands (Dutch);ISO646;national;latin;https://en.wikipedia.org/wiki/ISO/IEC_646;ascii;fixed7;1;1;U+001A;yes;no;
9999;checked;Name;SWI;SWI;1992;Switzerland (French, German);ISO646;national;latin;https://en.wikipedia.org/wiki/ISO/IEC_646;ascii;fixed7;1;1;U+001A;yes;no;
9999;checked;Name;ibm-1027;IBM1027;1989;Japanese Latin Host Extended;IBMZOS;zos;latin;;ebcdic;fixed8;1;1;U+001A;yes;no;
9999;checked;SELF;ibm-1040;IBM1040;1989;Korean Extended;IBMPC;dos;korean;https://en.wikipedia.org/w/index.php?title=Code_page_1040&action=edit&redlink=1;ascii;fixed8;1;1;U+001A;yes;no;
9999;checked;Name;ibm-1041;IBM1041;1989;Japanese Extended;IBMPC;dos;japanese;https://en.wikipedia.org/w/index.php?title=Code_page_1041&action=edit&redlink=1;ascii;fixed8;1;1;U+001A;yes;no;
9999;checked;SELF;ibm-1042;IBM1042;1994;Simplified Chinese Extended;IBMPC;dos;chinese;https://en.wikipedia.org/w/index.php?title=Code_page_1042&action=edit&redlink=1;ascii;fixed8;1;1;U+001A;yes;no;
9999;checked;Name;ibm-1043;IBM1043;1989;Traditional Chinese Extended;IBMPC;dos;chinese;https://en.wikipedia.org/w/index.php?title=Code_page_1043&action=edit&redlink=1;ascii;fixed8;1;1;U+001A;yes;no;
9999;checked;SELF;ibm-1070;IBM1070;1984;USA/Canada;IBMZOS;zos;latin;;ebcdic;fixed8;1;1;U+001A;yes;no;
9999;checked;SELF;ibm-1079;IBM1079;1984;Spain/Latin America;IBMZOS;zos;latin;;ebcdic;fixed8;1;1;U+001A;yes;no;
9999;checked;SELF;ibm-1081;IBM1081;1984;France;IBMZOS;zos;latin;;ebcdic;fixed8;1;1;U+001A;yes;no;
9999;checked;SELF;ibm-1084;IBM1084;1984;International #5;IBMZOS;zos;latin;;ebcdic;fixed8;1;1;U+001A;yes;no;
9999;checked;Name;ibm-1088;IBM1088;1992;Revised Korean;IBMPC;dos;korean;https://en.wikipedia.org/w/index.php?title=Code_page_1088&action=edit&redlink=1;ascii;fixed8;1;1;U+001A;yes;no;
9999;checked;Name;ibm-1101;IBM1101;1992;Emulation of the DEC VT220 British NRC Set;VENDOR;dec;latin;https://en.wikipedia.org/w/index.php?title=Code_page_1101&action=edit&redlink=1;ascii;fixed8;1;1;U+001A;yes;no;
9999;checked;Name;ibm-1102;IBM1102;1992;Emulation of the DEC VT220 Dutch NRC Set;VENDOR;dec;latin;https://en.wikipedia.org/w/index.php?title=Code_page_1102&action=edit&redlink=1;ascii;fixed8;1;1;U+001A;yes;no;
9999;checked;Name;ibm-1103;IBM1103;1992;Emulation of the DEC VT220 Finnish NRC Set;VENDOR;dec;latin;https://en.wikipedia.org/w/index.php?title=Code_page_1103&action=edit&redlink=1;ascii;fixed8;1;1;U+001A;yes;no;
9999;checked;Name;ibm-1105;IBM1105;1992;Emulation of the DEC VT220 Norwegian/Danish NRC Set;VENDOR;dec;latin;https://en.wikipedia.org/w/index.php?title=Code_page_1105&action=edit&redlink=1;ascii;fixed8;1;1;U+001A;yes;no;
9999;checked;Name;ibm-1106;IBM1106;1992;Emulation of the DEC VT220 Swedish NRC Set;VENDOR;dec;latin;https://en.wikipedia.org/w/index.php?title=Code_page_1106&action=edit&redlink=1;ascii;fixed8;1;1;U+001A;yes;no;
9999;checked;Name;ibm-1114;IBM1114;1994;Taiwan;IBMPC;dos;chinese;https://en.wikipedia.org/w/index.php?title=Code_page_1114&action=edit&redlink=1;ascii;fixed8;1;1;U+001A;yes;no;
9999;checked;Name;ibm-1115;IBM1115;1994;People's Republic of China (PRC);IBMPC;dos;chinese;https://en.wikipedia.org/w/index.php?title=Code_page_1115&action=edit&redlink=1;ascii;fixed8;1;1;U+001A;yes;no;
