Lower Case	Upper Case	Note:
0x026b	0x2c62	; LATIN LETTER L WITH MIDDLE TILDE
0x026f	0x019c	; Turned M
0x0271	0x2c6e	; Latin Small Letter M With Hook
0x0272	0x019d	; N Left Hook
0x0275	0x019f	; Barred o -> O Middle Tilde
0x027d	0x2c64	; LATIN LETTER R WITH TAIL
0x0280	0x01a6	; LATIN LETTER YR <--> LATIN LETTER SMALL CAPITAL R
0x0283	0x01a9	; Esh
0x0288	0x01ae	; T Retroflex Hook
0x0289	0x0244	; LATIN LETTER U BAR
0x028a	0x01b1	; Upsilon
0x028b	0x01b2	; V Hook
0x028c	0x0245	; LATIN LETTER TURNED V
0x0292	0x01b7	; Ezh
		
0x0371	0x0370	; Greek Small Letter Heta
0x0373	0x0372	; Greek Small Letter Archaic Sampi
0x0377	0x0376	; Greek Small Letter Pamphylian Digamma
0x037b	0x03fd	; GREEK REVERSED LUNATE SIGMA SYMBOL
0x037c	0x03fe	; GREEK DOTTED LUNATE SIGMA SYMBOL
0x037d	0x03ff	; GREEK REVERSED DOTTED LUNATE SIGMA SYMBOL
0x03ac	0x0386	; Greek Alpha Tonos
0x03ad	0x0388	; Greek Epsilon Tonos
0x03ae	0x0389	; Greek Eta Tonos
0x03af	0x038a	; Greek Iota Tonos
0x03b1	0x0391	; Greek Alpha
0x03b2	0x0392	; Greek Beta
0x03b3	0x0393	; Greek Gamma
0x03b4	0x0394	; Greek Delta
0x03b5	0x0395	; Greek Epsilon
0x03b6	0x0396	; Greek Zeta
0x03b7	0x0397	; Greek Eta
0x03b8	0x0398	; Greek Theta
0x03b9	0x0399	; Greek Iota
0x03ba	0x039a	; Greek Kappa
0x03bb	0x039b	; Greek Lamda
0x03bc	0x039c	; Greek Mu
0x03bd	0x039d	; Greek Nu
0x03be	0x039e	; Greek Xi
0x03bf	0x039f	; Greek Omicron
0x03c0	0x03a0	; Greek Pi
0x03c1	0x03a1	; Greek Rho
		
0x03c3	0x03a3	; Greek Sigma
0x03c4	0x03a4	; Greek Tau
0x03c5	0x03a5	; Greek Upsilon
0x03c6	0x03a6	; Greek Phi
0x03c7	0x03a7	; Greek Chi
0x03c8	0x03a8	; Greek Psi
0x03c9	0x03a9	; Greek Omega
0x03ca	0x03aa	; Greek Iota Dialytika
0x03cb	0x03ab	; Greek Upsilon Dialytika
