Lower Case	Upper Case	Note:
0x1f31	0x1f39	;*Greek Iota Dasia
0x1f32	0x1f3a	;*Greek Iota Psili Varia
0x1f33	0x1f3b	;*Greek Iota Dasia Varia
0x1f34	0x1f3c	;*Greek Iota Psili Oxia
0x1f35	0x1f3d	;*Greek Iota Dasia Oxia
0x1f36	0x1f3e	;*Greek Iota Psili Perispomeni
0x1f37	0x1f3f	;*Greek Iota Dasia Perispomeni
0x1f40	0x1f48	;*Greek Omicron Psili
0x1f41	0x1f49	;*Greek Omicron Dasia
0x1f42	0x1f4a	;*Greek Omicron Psili Varia
0x1f43	0x1f4b	;*Greek Omicron Dasia Varia
0x1f44	0x1f4c	;*Greek Omicron Psili Oxia
0x1f45	0x1f4d	;*Greek Omicron Dasia Oxia
0x1f51	0x1f59	;*Greek Upsilon Dasia
0x1f53	0x1f5b	;*Greek Upsilon Dasia Varia
0x1f55	0x1f5d	;*Greek Upsilon Dasia Oxia
0x1f57	0x1f5f	;*Greek Upsilon Dasia Perispomeni
0x1f60	0x1f68	;*Greek Omega Psili
0x1f61	0x1f69	;*Greek Omega Dasia
0x1f62	0x1f6a	;*Greek Omega Psili Varia
0x1f63	0x1f6b	;*Greek Omega Dasia Varia
0x1f64	0x1f6c	;*Greek Omega Psili Oxia
0x1f65	0x1f6d	;*Greek Omega Dasia Oxia
0x1f66	0x1f6e	;*Greek Omega Psili Perispomeni
0x1f67	0x1f6f	;*Greek Omega Dasia Perispomeni
0x1f70	0x1fba	;*Greek Alpha Varia
0x1f71	0x1fbb	;*Greek Alpha Oxia
0x1f72	0x1fc8	;*Greek Epsilon Varia
0x1f73	0x1fc9	;*Greek Epsilon Oxia
0x1f74	0x1fca	;*Greek Eta Varia
0x1f75	0x1fcb	;*Greek Eta Oxia
0x1f76	0x1fda	;*Greek Iota Varia
0x1f77	0x1fdb	;*Greek Iota Oxia
0x1f78	0x1ff8	;*Greek Omicron Varia
0x1f79	0x1ff9	;*Greek Omicron Oxia
0x1f7a	0x1fea	;*Greek Upsilon Varia
0x1f7b	0x1feb	;*Greek Upsilon Oxia
0x1f7c	0x1ffa	;*Greek Omega Varia
0x1f7d	0x1ffb	;*Greek Omega Oxia
0x1f80	0x1f88	; GREEK SMALL LETTER ALPHA WITH PSILI AND YPOGEGRAMMENI -> GREEK CAPITAL LETTER ALPHA WITH PSILI AND YPOGEGRAMMENI
0x1f81	0x1f89	; GREEK SMALL LETTER ALPHA WITH PSILI AND PROSGEGRAMMENI -> GREEK CAPITAL LETTER ALPHA WITH PSILI AND PROSGEGRAMMENI
0x1f82	0x1f8a	; GREEK SMALL LETTER ALPHA WITH PSILI AND VARIA AND PROSGEGRAMMENI -> GREEK CAPITAL LETTER ALPHA WITH PSILI AND VARIA AND PROSGEGRAMMENI
0x1f83	0x1f8b	; GREEK SMALL LETTER ALPHA WITH DASIA AND VARIA AND PROSGEGRAMMENI -> GREEK CAPITAL LETTER ALPHA WITH DASIA AND VARIA AND PROSGEGRAMMENI
0x1f84	0x1f8c	; GREEK LETTER ALPHA WITH PSILI AND OXIA AND YPOGEGRAMMENI
0x1f85	0x1f8d	; GREEK LETTER ALPHA WITH DASIA AND OXIA AND YPOGEGRAMMENI
0x1f86	0x1f8e	; GREEK LETTER ALPHA WITH PSILI AND PERISPOMENI AND YPOGEGRAMMENI
0x1f87	0x1f8f	; GREEK LETTER ALPHA WITH DASIA AND PERISPOMENI AND YPOGEGRAMMENI
0x1f90	0x1f98	; GREEK LETTER ETA WITH PSILI AND YPOGEGRAMMENI
0x1f91	0x1f99	; GREEK LETTER ETA WITH DASIA AND YPOGEGRAMMENI
0x1f92	0x1f9a	; GREEK LETTER ETA WITH PSILI AND VARIA AND YPOGEGRAMMENI
0x1f93	0x1f9b	; GREEK LETTER ETA WITH DASIA AND VARIA AND YPOGEGRAMMENI
0x1f94	0x1f9c	; GREEK LETTER ETA WITH PSILI AND OXIA AND YPOGEGRAMMENI
0x1f95	0x1f9d	; GREEK LETTER ETA WITH DASIA AND OXIA AND YPOGEGRAMMENI
0x1f96	0x1f9e	; GREEK LETTER ETA WITH PSILI AND PERISPOMENI AND YPOGEGRAMMENI
0x1f97	0x1f9f	; GREEK LETTER ETA WITH DASIA AND PERISPOMENI AND YPOGEGRAMMENI
0x1fa0	0x1fa8	; GREEK LETTER OMEGA WITH PSILI AND YPOGEGRAMMENI
0x1fa1	0x1fa9	; GREEK LETTER OMEGA WITH DASIA AND YPOGEGRAMMENI
0x1fa2	0x1faa	; GREEK LETTER OMEGA WITH PSILI AND VARIA AND YPOGEGRAMMENI
0x1fa3	0x1fab	; GREEK LETTER OMEGA WITH DASIA AND VARIA AND YPOGEGRAMMENI
0x1fa4	0x1fac	; GREEK LETTER OMEGA WITH PSILI AND OXIA AND YPOGEGRAMMENI
0x1fa5	0x1fad	; GREEK LETTER OMEGA WITH DASIA AND OXIA AND YPOGEGRAMMENI
0x1fa6	0x1fae	; GREEK LETTER OMEGA WITH PSILI AND PERISPOMENI AND YPOGEGRAMMENI
0x1fa7	0x1faf	; GREEK LETTER OMEGA WITH DASIA AND PERISPOMENI AND YPOGEGRAMMENI
0x1fb0	0x1fb8	;*Greek Alpha Vrachy
0x1fb1	0x1fb9	;*Greek Alpha Macron
0x1fb3	0x1fbc	; GREEK LETTER ALPHA WITH PROSGEGRAMMENI
		
0x1fc3	0x1fcc	; GREEK LETTER ETA WITH PROSGEGRAMMENI
0x1fd0	0x1fd8	;*Greek Iota Vrachy
0x1fd1	0x1fd9	;*Greek Iota Macron
0x1fe0	0x1fe8	;*Greek Upsilon Vrachy
0x1fe1	0x1fe9	;*Greek Upsilon Macron
0x1fe5	0x1fec	;*Greek Rho Dasia
0x1ff3	0x1ffc	; GREEK LETTER OMEGA WITH PROSGEGRAMMENI
0x214e	0x2132	; TURNED CAPITAL F
0x2170	0x2160	;*Roman Numeral 1
0x2171	0x2161	;*Roman Numeral 2
0x2172	0x2162	;*Roman Numeral 3
0x2173	0x2163	;*Roman Numeral 4
0x2174	0x2164	;*Roman Numeral 5
0x2175	0x2165	;*Roman Numeral 6
0x2176	0x2166	;*Roman Numeral 7
0x2177	0x2167	;*Roman Numeral 8
0x2178	0x2168	;*Roman Numeral 9
0x2179	0x2169	;*Roman Numeral 10
0x217a	0x216a	;*Roman Numeral 11
0x217b	0x216b	;*Roman Numeral 12
0x217c	0x216c	;*Roman Numeral 50
0x217d	0x216d	;*Roman Numeral 100
0x217e	0x216e	;*Roman Numeral 500
0x217f	0x216f	;*Roman Numeral 1000
0x2184	0x2183	; LATIN SMALL LETTER REVERSED C -> ROMAN NUMERAL REVERSED ONE HUNDRED
0x24d0	0x24b6	; Circled A
0x24d1	0x24b7	; Circled B
0x24d2	0x24b8	; Circled C
0x24d3	0x24b9	; Circled D
0x24d4	0x24ba	; Circled E
0x24d5	0x24bb	; Circled F
0x24d6	0x24bc	; Circled G
0x24d7	0x24bd	; Circled H
0x24d8	0x24be	; Circled I
0x24d9	0x24bf	; Circled J
0x24da	0x24c0	; Circled K
0x24db	0x24c1	; Circled L
0x24dc	0x24c2	; Circled M
0x24dd	0x24c3	; Circled N
0x24de	0x24c4	; Circled O
0x24df	0x24c5	; Circled P
0x24e0	0x24c6	; Circled Q
0x24e1	0x24c7	; Circled R
0x24e2	0x24c8	; Circled S
0x24e3	0x24c9	; Circled T
0x24e4	0x24ca	; Circled U
0x24e5	0x24cb	; Circled V
0x24e6	0x24cc	; Circled W
0x24e7	0x24cd	; Circled X
0x24e8	0x24ce	; Circled Y
0x24e9	0x24cf	; Circled Z
0x2c30	0x2c00	; GLAGOLITIC LETTER AZU
0x2c31	0x2c01	; GLAGOLITIC LETTER BUKY
0x2c32	0x2c02	; GLAGOLITIC LETTER VEDE
0x2c33	0x2c03	; GLAGOLITIC LETTER GLAGOLI
0x2c34	0x2c04	; GLAGOLITIC LETTER DOBRO
0x2c35	0x2c05	; GLAGOLITIC LETTER YESTU
0x2c36	0x2c06	; GLAGOLITIC LETTER ZHIVETE
0x2c37	0x2c07	; GLAGOLITIC LETTER DZELO
0x2c38	0x2c08	; GLAGOLITIC LETTER ZEMJLA
0x2c39	0x2c09	; GLAGOLITIC LETTER IZHE
0x2c3a	0x2c0a	; GLAGOLITIC LETTER INITIAL IZHE
0x2c3b	0x2c0b	; GLAGOLITIC LETTER I
0x2c3c	0x2c0c	; GLAGOLITIC LETTER DJERVI
0x2c3d	0x2c0d	; GLAGOLITIC LETTER KAKO
0x2c3e	0x2c0e	; GLAGOLITIC LETTER LJUDIJE
0x2c3f	0x2c0f	; GLAGOLITIC LETTER MYSLITE
0x2c40	0x2c10	; GLAGOLITIC LETTER NASHI
0x2c41	0x2c11	; GLAGOLITIC LETTER ONU
0x2c42	0x2c12	; GLAGOLITIC LETTER POKOJI
0x2c43	0x2c13	; GLAGOLITIC LETTER RITSI
0x2c44	0x2c14	; GLAGOLITIC LETTER SLOVO
0x2c45	0x2c15	; GLAGOLITIC LETTER TVRIDO
0x2c46	0x2c16	; GLAGOLITIC LETTER UKU
0x2c47	0x2c17	; GLAGOLITIC LETTER FRITU
0x2c48	0x2c18	; GLAGOLITIC LETTER HERU
0x2c49	0x2c19	; GLAGOLITIC LETTER OTU
0x2c4a	0x2c1a	; GLAGOLITIC LETTER PE
0x2c4b	0x2c1b	; GLAGOLITIC LETTER SHTA
0x2c4c	0x2c1c	; GLAGOLITIC LETTER TSI
0x2c4d	0x2c1d	; GLAGOLITIC LETTER CHRIVI
0x2c4e	0x2c1e	; GLAGOLITIC LETTER SHA
0x2c4f	0x2c1f	; GLAGOLITIC LETTER YERU
0x2c50	0x2c20	; GLAGOLITIC LETTER YERI
0x2c51	0x2c21	; GLAGOLITIC LETTER YATI
0x2c52	0x2c22	; GLAGOLITIC LETTER SPIDERY HA
0x2c53	0x2c23	; GLAGOLITIC LETTER YU
0x2c54	0x2c24	; GLAGOLITIC LETTER SMALL YUS
0x2c55	0x2c25	; GLAGOLITIC LETTER SMALL YUS WITH TAIL
0x2c56	0x2c26	; GLAGOLITIC LETTER YO
0x2c57	0x2c27	; GLAGOLITIC LETTER IOTATED SMALL YUS
0x2c58	0x2c28	; GLAGOLITIC LETTER BIG YUS
0x2c59	0x2c29	; GLAGOLITIC LETTER IOTATED BIG YUS
0x2c5a	0x2c2a	; GLAGOLITIC LETTER FITA
0x2c5b	0x2c2b	; GLAGOLITIC LETTER IZHITSA
0x2c5c	0x2c2c	; GLAGOLITIC LETTER SHTAPIC
0x2c5d	0x2c2d	; GLAGOLITIC LETTER TROKUTASTI
0x2c5e	0x2c2e	; GLAGOLITIC LETTER LATINATE MYSLITE
0x2c61	0x2c60	; LATIN LETTER L WITH DOUBLE BAR
0x2c65	0x023a	; LATIN LETTER A WITH STROKE
0x2c66	0x023e	; LATIN LETTER T WITH DIAGONAL STROKE
0x2c68	0x2c67	; LATIN LETTER H WITH DESCENDER
0x2c6a	0x2c69	; LATIN LETTER K WITH DESCENDER
0x2c6c	0x2c6b	; LATIN LETTER Z WITH DESCENDER
0x2c73	0x2c72	; Latin Small Letter W With Hook
0x2c76	0x2c75	; LATIN LETTER HALF H
0x2c81	0x2c80	; COPTIC LETTER ALFA
0x2c83	0x2c82	; COPTIC LETTER VIDA
0x2c85	0x2c84	; COPTIC LETTER GAMMA
0x2c87	0x2c86	; COPTIC LETTER DALDA
0x2c89	0x2c88	; COPTIC LETTER EIE
0x2c8b	0x2c8a	; COPTIC LETTER SOU
0x2c8d	0x2c8c	; COPTIC LETTER ZATA
0x2c8f	0x2c8e	; COPTIC LETTER HATE
0x2c91	0x2c90	; COPTIC LETTER THETHE
0x2c93	0x2c92	; COPTIC LETTER IAUDA
0x2c95	0x2c94	; COPTIC LETTER KAPA
0x2c97	0x2c96	; COPTIC LETTER LAULA
0x2c99	0x2c98	; COPTIC LETTER MI
0x2c9b	0x2c9a	; COPTIC LETTER NI
0x2c9d	0x2c9c	; COPTIC LETTER KSI
0x2c9f	0x2c9e	; COPTIC LETTER O
0x2ca1	0x2ca0	; COPTIC LETTER PI
0x2ca3	0x2ca2	; COPTIC LETTER RO
0x2ca5	0x2ca4	; COPTIC LETTER SIMA
0x2ca7	0x2ca6	; COPTIC LETTER TAU
0x2ca9	0x2ca8	; COPTIC LETTER UA
0x2cab	0x2caa	; COPTIC LETTER FI
0x2cad	0x2cac	; COPTIC LETTER KHI
0x2caf	0x2cae	; COPTIC LETTER PSI
0x2cb1	0x2cb0	; COPTIC LETTER OOU
0x2cb3	0x2cb2	; COPTIC LETTER DIALECT-P ALEF
0x2cb5	0x2cb4	; COPTIC LETTER OLD COPTIC AIN
0x2cb7	0x2cb6	; COPTIC LETTER CYRPTOGRAMMIC EIE
0x2cb9	0x2cb8	; COPTIC LETTER DIALECT-P KAPA
0x2cbb	0x2cba	; COPTIC LETTER DIALECT-P NI
0x2cbd	0x2cbc	; COPTIC LETTER CYRPTOGRAMMIC NI
0x2cbf	0x2cbe	; COPTIC LETTER OLD COPTIC OOU
0x2cc1	0x2cc0	; COPTIC LETTER SAMPI
0x2cc3	0x2cc2	; COPTIC LETTER CROSSED SHEI
0x2cc5	0x2cc4	; COPTIC LETTER OLD COPTIC SHEI
0x2cc7	0x2cc6	; COPTIC LETTER OLD COPTIC ESH
0x2cc9	0x2cc8	; COPTIC LETTER AKHMIMIC KHEI
0x2ccb	0x2cca	; COPTIC LETTER DIALECT-P HORI
0x2ccd	0x2ccc	; COPTIC LETTER OLD COPTIC HORI
0x2ccf	0x2cce	; COPTIC LETTER OLD COPTIC HA
0x2cd1	0x2cd0	; COPTIC LETTER L-SHAPED HA
0x2cd3	0x2cd2	; COPTIC LETTER OLD COPTIC HEI
0x2cd5	0x2cd4	; COPTIC LETTER OLD COPTIC HAT
0x2cd7	0x2cd6	; COPTIC LETTER OLD COPTIC GANGIA
0x2cd9	0x2cd8	; COPTIC LETTER OLD COPTIC DJA
0x2cdb	0x2cda	; COPTIC LETTER OLD COPTIC SHIMA
0x2cdd	0x2cdc	; COPTIC LETTER OLD NUBIAN SHIMA
0x2cdf	0x2cde	; COPTIC LETTER OLD NUBIAN NGI
0x2ce1	0x2ce0	; COPTIC LETTER OLD NUBIAN NYI
0x2ce3	0x2ce2	; COPTIC LETTER OLD NUBIAN WAU
0x2d00	0x10a0	; Georgian An
0x2d01	0x10a1	; Georgian Ban
0x2d02	0x10a2	; Georgian Gan
0x2d03	0x10a3	; Georgian Don
0x2d04	0x10a4	; Georgian En
0x2d05	0x10a5	; Georgian Vin
0x2d06	0x10a6	; Georgian Zen
0x2d07	0x10a7	; Georgian Tan
0x2d08	0x10a8	; Georgian In
0x2d09	0x10a9	; Georgian Kan
0x2d0a	0x10aa	; Georgian Las
0x2d0b	0x10ab	; Georgian Man
0x2d0c	0x10ac	; Georgian Nar
0x2d0d	0x10ad	; Georgian On
0x2d0e	0x10ae	; Georgian Par
0x2d0f	0x10af	; Georgian Zhar
0x2d10	0x10b0	; Georgian Rae
0x2d11	0x10b1	; Georgian San
0x2d12	0x10b2	; Georgian Tar
0x2d13	0x10b3	; Georgian Un
0x2d14	0x10b4	; Georgian Phar
0x2d15	0x10b5	; Georgian Khar
0x2d16	0x10b6	; Georgian Ghan
0x2d17	0x10b7	; Georgian Qar
0x2d18	0x10b8	; Georgian Shin
0x2d19	0x10b9	; Georgian Chin
0x2d1a	0x10ba	; Georgian Can
0x2d1b	0x10bb	; Georgian Jil
0x2d1c	0x10bc	; Georgian Cil
0x2d1d	0x10bd	; Georgian Char
0x2d1e	0x10be	; Georgian Xan
0x2d1f	0x10bf	; Georgian Jhan
0x2d20	0x10c0	; Georgian Hae
0x2d21	0x10c1	; Georgian He
0x2d22	0x10c2	; Georgian Hie
0x2d23	0x10c3	; Georgian We
0x2d24	0x10c4	; Georgian Har
0x2d25	0x10c5	; Georgian Hoe
0xa641	0xa640	; Cyrillic Small Letter Zemlya
0xa643	0xa642	; Cyrillic Small Letter Dzelo
0xa645	0xa644	; Cyrillic Small Letter Reversed Dze
0xa647	0xa646	; Cyrillic Small Letter Iota
0xa649	0xa648	; Cyrillic Small Letter Djerv
0xa64b	0xa64a	; Cyrillic Small Letter Monograph Uk
0xa64d	0xa64c	; Cyrillic Small Letter Broad Omega
0xa64f	0xa64e	; Cyrillic Small Letter Neutral Yer
0xa651	0xa650	; Cyrillic Small Letter Yeru With Back Yer
0xa653	0xa652	; Cyrillic Small Letter Iotified Yat
0xa655	0xa654	; Cyrillic Small Letter Reversed Yu
0xa657	0xa656	; Cyrillic Small Letter Iotified A
0xa659	0xa658	; Cyrillic Small Letter Closed Little Yus
0xa65b	0xa65a	; Cyrillic Small Letter Blended Yus
0xa65d	0xa65c	; Cyrillic Small Letter Iotified Closed Little Yus
0xa65f	0xa65e	; Cyrillic Small Letter Yn
0xa663	0xa662	; Cyrillic Small Letter Soft De
0xa665	0xa664	; Cyrillic Small Letter Soft El
0xa667	0xa666	; Cyrillic Small Letter Soft Em
0xa669	0xa668	; Cyrillic Small Letter Monocular O
0xa66b	0xa66a	; Cyrillic Small Letter Binocular O
0xa66d	0xa66c	; Cyrillic Small Letter Double Monocular O
0xa681	0xa680	; Cyrillic Small Letter Dwe
0xa683	0xa682	; Cyrillic Small Letter Dzwe
0xa685	0xa684	; Cyrillic Small Letter Zhwe
0xa687	0xa686	; Cyrillic Small Letter Cche
0xa689	0xa688	; Cyrillic Small Letter Dzze
0xa68b	0xa68a	; Cyrillic Small Letter Te With Middle Hook
0xa68d	0xa68c	; Cyrillic Small Letter Twe
0xa68f	0xa68e	; Cyrillic Small Letter Tswe
0xa691	0xa690	; Cyrillic Small Letter Tsse
0xa693	0xa692	; Cyrillic Small Letter Tche
0xa695	0xa694	; Cyrillic Small Letter Hwe
0xa697	0xa696	; Cyrillic Small Letter Shwe
0xa723	0xa722	; Latin Small Letter Egyptological Alef
0xa725	0xa724	; Latin Small Letter Egyptological Ain
0xa727	0xa726	; Latin Small Letter Heng
0xa729	0xa728	; Latin Small Letter Tz
0xa72b	0xa72a	; Latin Small Letter Tresillo
0xa72d	0xa72c	; Latin Small Letter Cuatrillo
0xa72f	0xa72e	; Latin Small Letter Cuatrillo With Comma
0xa733	0xa732	; Latin Small Letter Aa
0xa735	0xa734	; Latin Small Letter Ao
0xa737	0xa736	; Latin Small Letter Au
0xa739	0xa738	; Latin Small Letter Av
0xa73b	0xa73a	; Latin Small Letter Av With Horizontal Bar
0xa73d	0xa73c	; Latin Small Letter Ay
0xa73f	0xa73e	; Latin Small Letter Reversed C With Dot
0xa741	0xa740	; Latin Small Letter K With Stroke
0xa743	0xa742	; Latin Small Letter K With Diagonal Stroke
0xa745	0xa744	; Latin Small Letter K With Stroke And Diagonal Stroke
0xa747	0xa746	; Latin Small Letter Broken L
0xa749	0xa748	; Latin Small Letter L With High Stroke
0xa74b	0xa74a	; Latin Small Letter O With Long Stroke Overlay
0xa74d	0xa74c	; Latin Small Letter O With Loop
0xa74f	0xa74e	; Latin Small Letter Oo
0xa751	0xa750	; Latin Small Letter P With Stroke Through Descender
0xa753	0xa752	; Latin Small Letter P With Flourish
0xa755	0xa754	; Latin Small Letter P With Squirrel Tail
0xa757	0xa756	; Latin Small Letter Q With Stroke Through Descender
0xa759	0xa758	; Latin Small Letter Q With Diagonal Stroke
0xa75b	0xa75a	; Latin Small Letter R Rotunda
0xa75d	0xa75c	; Latin Small Letter Rum Rotunda
0xa75f	0xa75e	; Latin Small Letter V With Diagonal Stroke
0xa761	0xa760	; Latin Small Letter Vy
0xa763	0xa762	; Latin Small Letter Visigothic Z
0xa765	0xa764	; Latin Small Letter Thorn With Stroke
0xa767	0xa766	; Latin Small Letter Thorn With Stroke Through Descender
0xa769	0xa768	; Latin Small Letter Vend
0xa76b	0xa76a	; Latin Small Letter Et
0xa76d	0xa76c	; Latin Small Letter Is
0xa76f	0xa76e	; Latin Small Letter Con
0xa77a	0xa779	; Latin Small Letter Insular D
0xa77c	0xa77b	; Latin Small Letter Insular F
0xa77f	0xa77e	; Latin Small Letter Turned Insular G
0xa781	0xa780	; Latin Small Letter Turned L
0xa783	0xa782	; Latin Small Letter Insular R
0xa785	0xa784	; Latin Small Letter Insular S
0xa787	0xa786	; Latin Small Letter Insular T
0xa78c	0xa78b	; Latin Small Letter Saltillo
0xff41	0xff21	; Full Width A
0xff42	0xff22	; Full Width B
0xff43	0xff23	; Full Width C
0xff44	0xff24	; Full Width D
0xff45	0xff25	; Full Width E
0xff46	0xff26	; Full Width F
0xff47	0xff27	; Full Width G
0xff48	0xff28	; Full Width H
0xff49	0xff29	; Full Width I
0xff4a	0xff2a	; Full Width J
0xff4b	0xff2b	; Full Width K
0xff4c	0xff2c	; Full Width L
0xff4d	0xff2d	; Full Width M
0xff4e	0xff2e	; Full Width N
0xff4f	0xff2f	; Full Width O
0xff50	0xff30	; Full Width P
0xff51	0xff31	; Full Width Q
0xff52	0xff32	; Full Width R
0xff53	0xff33	; Full Width S
0xff54	0xff34	; Full Width T
0xff55	0xff35	; Full Width U
0xff56	0xff36	; Full Width V
0xff57	0xff37	; Full Width W
0xff58	0xff38	; Full Width X
0xff59	0xff39	; Full Width Y
0xff5a	0xff3a	; Full Width Z
